EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-6.479,-12.263,-7.113,-11.615,-10.302,-16.041,-15.248,-11.097,-0.140,1.002,-0.020,6.836,-8.301,-1.099,60.000,62488.000,1.000
-8.360,-13.715,-8.543,-11.961,-11.439,-17.943,-14.709,-11.088,-0.139,1.002,-0.020,6.378,-8.423,-1.007,60.000,62489.000,1.000
-9.796,-14.361,-9.891,-12.469,-11.940,-19.496,-13.810,-11.844,-0.140,1.004,-0.021,5.859,-8.392,-0.946,60.000,62490.000,1.000
-10.774,-13.995,-10.819,-12.736,-11.845,-19.860,-12.455,-12.600,-0.138,1.004,-0.022,5.493,-8.423,-1.038,60.000,62491.000,1.000
-11.238,-12.571,-10.981,-12.222,-11.270,-18.437,-10.616,-12.493,-0.137,1.003,-0.024,5.005,-8.453,-1.007,60.000,62492.000,1.000
-11.245,-10.570,-10.669,-11.239,-10.377,-15.717,-8.554,-11.613,-0.135,1.001,-0.023,4.700,-8.423,-0.916,60.000,62493.000,1.000
-11.000,-8.775,-10.535,-10.636,-9.360,-12.933,-6.696,-10.779,-0.135,1.001,-0.025,4.181,-8.240,-0.824,60.000,62494.000,1.000
-10.782,-7.660,-10.759,-10.665,-8.448,-10.899,-5.327,-10.428,-0.134,1.000,-0.028,3.662,-8.118,-0.763,60.000,62495.000,1.000
-10.811,-7.111,-10.809,-10.668,-7.872,-9.530,-4.497,-10.200,-0.132,0.997,-0.025,3.326,-7.996,-0.641,60.000,62496.000,1.000
-11.205,-6.926,-10.258,-10.149,-7.867,-8.740,-4.413,-9.782,-0.132,0.996,-0.026,2.899,-7.843,-0.549,60.000,62497.000,1.000
-11.956,-7.271,-9.521,-9.641,-8.577,-9.135,-5.562,-9.619,-0.131,0.996,-0.026,2.441,-7.629,-0.458,60.000,62498.000,1.000
-12.764,-8.233,-9.320,-10.051,-9.798,-11.164,-7.965,-10.299,-0.129,0.995,-0.025,2.106,-7.294,-0.183,60.000,62499.000,1.000
-13.050,-9.265,-9.667,-11.371,-11.045,-14.097,-10.709,-11.523,-0.126,0.995,-0.022,1.740,-6.989,0.061,60.000,62500.000,1.000
-12.309,-9.435,-9.735,-12.488,-11.903,-16.414,-12.561,-12.172,-0.124,0.995,-0.020,1.587,-6.775,0.183,60.000,62501.000,1.000
-10.415,-8.173,-8.739,-12.337,-12.162,-17.030,-12.913,-11.513,-0.122,0.994,-0.018,1.312,-6.470,0.458,60.000,62502.000,1.000
-7.599,-5.681,-6.713,-10.972,-11.670,-15.923,-12.001,-10.048,-0.121,0.996,-0.021,0.763,-6.195,0.763,60.000,62503.000,1.000
-4.268,-2.718,-4.312,-9.274,-10.297,-13.794,-10.415,-8.846,-0.119,0.995,-0.019,0.397,-5.798,1.038,60.000,62504.000,1.000
-0.889,0.060,-1.975,-7.723,-8.091,-11.291,-8.612,-8.177,-0.117,0.996,-0.020,0.031,-5.341,1.282,60.000,62505.000,1.000
2.209,2.644,0.540,-5.814,-5.247,-8.475,-6.712,-7.134,-0.117,0.997,-0.018,-0.427,-4.913,1.617,60.000,62506.000,1.000
4.956,5.415,3.628,-2.933,-1.939,-5.104,-4.564,-4.709,-0.116,0.999,-0.012,-0.824,-4.303,2.075,60.000,62507.000,1.000
7.364,8.347,6.959,0.525,1.647,-1.391,-1.933,-0.964,-0.115,1.000,-0.012,-1.160,-3.845,2.380,60.000,62508.000,1.000
9.472,10.992,9.679,3.596,5.332,2.070,1.454,3.305,-0.114,1.002,-0.008,-1.740,-3.448,2.777,60.000,62509.000,1.000
11.523,13.266,11.500,6.158,9.076,5.192,5.854,7.766,-0.113,1.006,-0.006,-2.228,-2.899,3.052,60.000,62510.000,1.000
13.583,15.426,12.817,8.864,12.670,8.377,11.012,12.499,-0.112,1.009,-0.004,-2.716,-2.350,3.357,60.000,62511.000,1.000
14.792,16.947,13.440,11.402,15.166,11.203,15.608,16.649,-0.112,1.011,-0.002,-3.326,-1.770,3.632,60.000,62512.000,1.000
13.609,16.201,12.033,11.840,15.149,11.811,17.622,18.131,-0.112,1.013,-0.002,-3.754,-1.373,3.906,60.000,62513.000,1.000
9.224,11.901,7.489,8.508,11.987,8.433,15.741,15.428,-0.112,1.013,0.003,-4.486,-0.854,4.303,60.000,62514.000,1.000
2.337,4.522,0.445,1.994,6.452,1.307,10.318,9.224,-0.111,1.014,0.008,-5.035,-0.427,4.608,60.000,62515.000,1.000
-5.483,-3.965,-7.059,-5.279,0.031,-7.427,2.790,1.753,-0.111,1.015,0.010,-5.615,0.092,4.822,60.000,62516.000,1.000
-12.534,-11.270,-13.013,-10.942,-5.780,-15.277,-5.258,-4.980,-0.108,1.015,0.011,-6.165,0.702,5.127,60.000,62517.000,1.000
-17.150,-15.610,-16.298,-13.814,-9.529,-20.467,-12.192,-9.954,-0.111,1.014,0.011,-6.744,1.068,5.341,60.000,62518.000,1.000
-18.175,-16.192,-16.733,-13.839,-10.126,-22.147,-16.317,-12.728,-0.112,1.014,0.016,-7.416,1.526,5.524,60.000,62519.000,1.000
-15.921,-13.609,-14.913,-11.733,-7.784,-20.517,-16.772,-13.175,-0.114,1.013,0.021,-7.660,1.923,5.737,60.000,62520.000,1.000
-12.289,-9.678,-11.999,-8.725,-4.266,-16.890,-14.402,-11.717,-0.114,1.011,0.023,-8.026,2.197,5.798,60.000,62521.000,1.000
-9.402,-6.339,-9.244,-6.105,-1.611,-13.144,-11.155,-9.339,-0.116,1.009,0.025,-8.575,2.594,5.890,60.000,62522.000,1.000
-8.154,-4.554,-7.538,-4.777,-0.659,-10.771,-8.635,-7.160,-0.114,1.004,0.027,-8.850,2.808,5.798,60.000,62523.000,1.000
-8.170,-4.144,-7.194,-5.002,-0.943,-10.241,-7.350,-5.886,-0.113,1.001,0.031,-9.186,2.991,5.676,60.000,62524.000,1.000
-8.700,-4.301,-7.815,-6.143,-1.566,-10.901,-6.901,-5.326,-0.116,0.996,0.032,-9.460,3.235,5.615,60.000,62525.000,1.000
-9.231,-4.219,-8.460,-6.862,-1.888,-11.513,-6.527,-4.559,-0.118,0.992,0.040,-9.735,3.357,5.524,60.000,62526.000,1.000
-9.503,-3.566,-8.327,-6.156,-1.624,-11.180,-5.616,-2.916,-0.122,0.990,0.040,-9.949,3.357,5.310,60.000,62527.000,1.000
-9.320,-2.500,-7.360,-4.189,-0.619,-9.843,-3.900,-0.633,-0.124,0.986,0.037,-9.949,3.448,5.035,60.000,62528.000,1.000
-8.481,-1.283,-5.977,-1.760,1.275,-7.927,-1.358,1.685,-0.125,0.981,0.041,-10.132,3.418,4.791,60.000,62529.000,1.000
-6.917,0.110,-4.275,0.837,3.998,-5.653,1.842,3.948,-0.126,0.980,0.043,-10.101,3.357,4.486,60.000,62530.000,1.000
-4.861,1.928,-1.893,3.938,7.093,-2.924,5.266,6.553,-0.128,0.978,0.044,-10.162,3.204,3.967,60.000,62531.000,1.000
-2.849,4.145,1.217,7.506,9.875,0.090,8.294,9.571,-0.130,0.977,0.045,-10.223,3.021,3.601,60.000,62532.000,1.000
-1.465,6.191,4.260,10.564,11.910,2.644,10.456,12.351,-0.127,0.983,0.047,-10.132,2.899,3.204,60.000,62533.000,1.000
-0.920,7.478,6.257,12.076,13.343,4.075,11.760,14.210,-0.127,0.986,0.047,-10.101,2.716,2.869,60.000,62534.000,1.000
-0.848,8.146,7.128,12.233,14.687,4.667,12.661,15.323,-0.125,0.992,0.050,-10.010,2.625,2.563,60.000,62535.000,1.000
-0.641,8.887,7.733,12.346,16.221,5.403,13.608,16.500,-0.120,0.998,0.055,-10.040,2.441,2.197,60.000,62536.000,1.000
0.016,10.054,8.776,13.329,17.665,6.832,14.612,18.010,-0.116,1.006,0.056,-10.254,2.472,2.045,60.000,62537.000,1.000
0.975,11.195,9.967,14.609,18.434,8.391,15.246,18.968,-0.114,1.013,0.058,-10.559,2.441,1.801,60.000,62538.000,1.000
1.775,11.462,10.359,14.782,18.076,8.931,15.004,18.148,-0.110,1.018,0.060,-10.864,2.563,1.648,60.000,62539.000,1.000
