EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
14.293,-2.169,0.710,2.147,-2.031,-4.994,-1.584,0.678,-0.162,0.994,0.098,-0.061,0.000,-1.678,60.000,20130.000,1.000
12.150,-2.939,-0.627,0.924,-2.558,-5.387,-1.652,0.213,-0.165,0.994,0.102,-0.031,-0.153,-1.648,60.000,20131.000,1.000
11.668,-2.268,-0.538,1.379,-1.437,-4.497,-0.434,1.081,-0.166,0.995,0.099,0.000,-0.153,-1.709,60.000,20132.000,1.000
13.573,0.218,1.208,3.291,1.638,-2.057,2.612,3.178,-0.166,0.993,0.105,0.000,-0.397,-1.648,60.000,20133.000,1.000
17.451,4.650,5.187,6.970,6.193,2.188,7.290,6.835,-0.165,0.992,0.104,0.000,-0.427,-1.556,60.000,20134.000,1.000
21.639,9.821,10.738,11.761,10.561,7.000,11.897,11.187,-0.164,0.994,0.103,0.031,-0.610,-1.678,60.000,20135.000,1.000
23.810,12.785,14.758,14.799,12.121,9.101,13.402,13.133,-0.164,0.995,0.101,0.092,-0.732,-1.740,60.000,20136.000,1.000
22.221,10.667,13.552,12.803,8.874,5.455,9.390,9.480,-0.163,0.994,0.105,0.183,-0.854,-1.740,60.000,20137.000,1.000
16.880,3.186,6.300,5.428,1.118,-3.733,0.222,0.295,-0.163,0.994,0.104,0.122,-1.007,-1.678,60.000,20138.000,1.000
9.614,-6.917,-3.931,-3.961,-8.569,-14.867,-10.895,-10.676,-0.165,0.994,0.106,0.061,-1.068,-1.740,60.000,20139.000,1.000
2.933,-15.915,-12.800,-11.167,-16.943,-23.770,-20.026,-19.115,-0.166,0.991,0.108,0.061,-1.099,-1.709,60.000,20140.000,1.000
-1.376,-21.416,-17.838,-14.369,-21.720,-28.400,-24.746,-23.214,-0.168,0.992,0.104,0.092,-1.251,-1.587,60.000,20141.000,1.000
-2.940,-23.111,-19.128,-14.420,-22.341,-29.189,-24.892,-23.802,-0.168,0.993,0.105,0.214,-1.312,-1.617,60.000,20142.000,1.000
-2.568,-22.084,-17.896,-12.838,-19.963,-27.673,-22.023,-22.443,-0.169,0.992,0.102,0.336,-1.495,-1.556,60.000,20143.000,1.000
-1.477,-19.808,-15.214,-10.303,-16.718,-25.266,-18.366,-20.124,-0.170,0.993,0.102,0.305,-1.587,-1.434,60.000,20144.000,1.000
-0.493,-17.520,-11.843,-6.989,-14.390,-22.934,-15.691,-17.459,-0.170,0.995,0.104,0.366,-1.770,-1.343,60.000,20145.000,1.000
0.347,-15.903,-8.596,-3.474,-13.384,-21.262,-14.520,-15.194,-0.170,0.997,0.106,0.305,-1.892,-1.343,60.000,20146.000,1.000
1.508,-15.026,-6.295,-0.640,-12.988,-20.346,-14.195,-13.906,-0.169,0.998,0.104,0.275,-1.984,-1.404,60.000,20147.000,1.000
3.184,-14.622,-5.266,1.193,-12.568,-19.838,-13.847,-13.341,-0.168,0.998,0.109,0.397,-2.197,-1.282,60.000,20148.000,1.000
4.854,-14.428,-5.029,2.560,-12.177,-19.306,-13.240,-12.558,-0.170,0.997,0.107,0.336,-2.289,-1.099,60.000,20149.000,1.000
5.756,-14.186,-4.682,4.069,-11.943,-18.509,-12.575,-10.850,-0.170,0.997,0.105,0.366,-2.319,-1.068,60.000,20150.000,1.000
5.638,-13.594,-3.691,5.533,-11.363,-17.417,-11.781,-8.428,-0.170,0.997,0.107,0.336,-2.380,-0.977,60.000,20151.000,1.000
4.932,-12.386,-2.097,6.310,-9.585,-15.941,-10.287,-5.998,-0.170,0.996,0.106,0.336,-2.441,-0.946,60.000,20152.000,1.000
4.333,-10.384,0.075,6.507,-6.300,-13.673,-7.529,-3.766,-0.169,0.998,0.105,0.458,-2.350,-0.885,60.000,20153.000,1.000
