EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-15.864,-16.076,-13.534,-13.357,-14.747,-13.289,-10.990,-11.317,-0.082,0.998,-0.053,1.221,2.594,-0.153,80.000,7709.000,1.000
-20.514,-21.067,-19.250,-17.593,-20.293,-19.657,-16.023,-14.181,-0.084,1.000,-0.051,1.129,2.655,-0.061,80.000,7710.000,1.000
-21.187,-22.775,-21.007,-18.436,-21.352,-21.765,-18.087,-14.597,-0.084,1.002,-0.052,1.282,2.594,-0.153,80.000,7711.000,1.000
-18.441,-21.390,-18.928,-16.463,-18.459,-19.669,-17.300,-13.066,-0.083,1.000,-0.049,1.312,2.716,-0.092,80.000,7712.000,1.000
-14.262,-17.423,-14.896,-12.878,-13.999,-14.845,-14.640,-10.181,-0.083,0.998,-0.050,1.343,2.716,-0.122,80.000,7713.000,1.000
-10.715,-12.318,-11.058,-9.123,-10.134,-9.411,-11.492,-6.919,-0.083,0.999,-0.052,1.373,2.808,-0.183,80.000,7714.000,1.000
-8.849,-8.218,-8.370,-6.368,-7.300,-4.987,-8.832,-4.405,-0.083,0.998,-0.050,1.434,2.838,-0.092,80.000,7715.000,1.000
-8.562,-6.449,-6.556,-4.963,-4.708,-1.984,-6.681,-3.000,-0.084,0.999,-0.051,1.404,2.930,-0.275,80.000,7716.000,1.000
-9.221,-6.481,-5.288,-4.485,-2.073,-0.028,-4.558,-2.038,-0.083,0.999,-0.049,1.404,3.021,-0.275,80.000,7717.000,1.000
-10.205,-6.841,-4.927,-4.441,-0.306,1.078,-2.428,-0.838,-0.086,1.001,-0.048,1.434,3.113,-0.336,80.000,7718.000,1.000
-10.887,-6.732,-5.778,-4.725,-0.231,1.250,-0.839,0.315,-0.085,1.002,-0.048,1.373,3.143,-0.366,80.000,7719.000,1.000
-10.448,-6.349,-7.090,-5.371,-1.231,0.830,-0.154,0.514,-0.085,1.004,-0.049,1.312,3.204,-0.427,80.000,7720.000,1.000
-8.236,-5.900,-7.501,-6.174,-1.885,0.674,-0.117,-0.625,-0.082,1.002,-0.053,1.251,3.174,-0.336,80.000,7721.000,1.000
-4.499,-4.857,-6.420,-6.649,-1.618,1.388,-0.203,-2.370,-0.082,1.002,-0.050,1.221,3.143,-0.427,80.000,7722.000,1.000
-0.469,-2.528,-4.530,-6.373,-1.059,2.781,-0.185,-3.549,-0.083,1.002,-0.053,1.160,3.235,-0.610,80.000,7723.000,1.000
2.532,0.802,-2.886,-5.391,-0.835,4.205,-0.202,-3.695,-0.082,1.000,-0.052,1.221,3.265,-0.549,80.000,7724.000,1.000
4.027,3.835,-1.778,-4.160,-0.503,5.368,-0.246,-3.209,-0.084,1.000,-0.054,1.251,3.296,-0.458,80.000,7725.000,1.000
4.424,5.577,-0.756,-3.109,0.837,6.601,0.125,-2.523,-0.084,1.003,-0.054,1.221,3.387,-0.458,80.000,7726.000,1.000
4.267,6.304,0.312,-2.402,3.048,8.199,1.257,-1.628,-0.084,1.003,-0.053,1.129,3.418,-0.336,80.000,7727.000,1.000
3.611,6.941,0.767,-2.061,4.749,9.816,2.833,-0.460,-0.082,1.004,-0.053,1.160,3.601,-0.397,80.000,7728.000,1.000
2.207,7.679,0.051,-2.129,4.902,10.734,4.148,0.653,-0.083,1.001,-0.054,1.221,3.662,-0.366,80.000,7729.000,1.000
0.059,7.646,-1.415,-2.640,4.029,10.548,4.792,1.176,-0.084,1.000,-0.055,1.190,3.723,-0.397,80.000,7730.000,1.000
-2.398,6.086,-2.680,-3.471,3.427,9.508,4.930,0.972,-0.086,0.999,-0.054,1.099,3.723,-0.305,80.000,7731.000,1.000
-4.581,3.656,-3.319,-4.210,3.634,8.383,5.082,0.653,-0.088,0.998,-0.051,1.160,3.662,-0.305,80.000,7732.000,1.000
